Subsystem,Emissions
SyngasCompression,1266461.55
HaberBoschUnit,6222701.15
CoolingSubsystem,746.65
ASU,348088.7
HydrogenProduction,2553.45
SyngasCompression,1266461.55
HaberBoschUnit,6222701.15
CoolingSubsystem,746.65
ASU,387834.95
HydrogenProduction,3190.25
SyngasCompression,1641600.4
HaberBoschUnit,9334845.08
CoolingSubsystem,436.0
ASU,387834.95
HydrogenProduction,3190.25
SyngasCompression,1641600.4
HaberBoschUnit,9334845.08
CoolingSubsystem,436.0
ASU,170186.95
HydrogenProduction,3526.6
SyngasCompression,751660.6
HaberBoschUnit,10027760.04
CoolingSubsystem,519.25
ASU,170186.95
HydrogenProduction,3526.6
SyngasCompression,751660.6
HaberBoschUnit,10027760.04
CoolingSubsystem,519.25
ASU,539487.15
HydrogenProduction,1297.8
SyngasCompression,1081734.1
HaberBoschUnit,11739140.56
CoolingSubsystem,513.85
ASU,539487.15
HydrogenProduction,1297.8
SyngasCompression,1081734.1
HaberBoschUnit,11739140.56
CoolingSubsystem,513.85
ASU,281030.15
HydrogenProduction,2930.6
SyngasCompression,1268491.5
HaberBoschUnit,5514852.7
CoolingSubsystem,1009.9
ASU,281030.15
HydrogenProduction,2930.6
SyngasCompression,1268491.5
HaberBoschUnit,5514852.7
CoolingSubsystem,1009.9
ASU,290169.65
HydrogenProduction,2035.85
SyngasCompression,2259929.9
HaberBoschUnit,6500464.5
CoolingSubsystem,472.25
ASU,290169.65
HydrogenProduction,2035.85
SyngasCompression,2259929.9
HaberBoschUnit,6500464.5
CoolingSubsystem,472.25
ASU,251486.15
HydrogenProduction,3982.15
SyngasCompression,1214088.25
HaberBoschUnit,8340273.19
CoolingSubsystem,968.3
ASU,251486.15
HydrogenProduction,3982.15
SyngasCompression,1214088.25
HaberBoschUnit,8340273.19
CoolingSubsystem,968.3
ASU,261582.1
HydrogenProduction,1363.95
SyngasCompression,1258138.65
HaberBoschUnit,14031434.67
CoolingSubsystem,489.0
ASU,261582.1
HydrogenProduction,1363.95
SyngasCompression,1258138.65
HaberBoschUnit,14031434.67
CoolingSubsystem,489.0
ASU,509836.85
HydrogenProduction,3075.1
SyngasCompression,1188307.6
HaberBoschUnit,6946976.49
CoolingSubsystem,572.2
ASU,509836.85
HydrogenProduction,3075.1
SyngasCompression,1188307.6
HaberBoschUnit,6946976.49
CoolingSubsystem,572.2
ASU,316419.2
HydrogenProduction,1532.1
SyngasCompression,782313.2
HaberBoschUnit,10202482.16
CoolingSubsystem,726.7
ASU,316419.2
HydrogenProduction,1532.1
SyngasCompression,782313.2
HaberBoschUnit,10202482.16
CoolingSubsystem,726.7
ASU,375507.25
HydrogenProduction,3243.3
SyngasCompression,1672252.95
HaberBoschUnit,10895397.11
CoolingSubsystem,809.95
ASU,375507.25
HydrogenProduction,3243.3
SyngasCompression,1672252.95
HaberBoschUnit,10895397.11
CoolingSubsystem,809.95
ASU,296652.35
HydrogenProduction,2263.6
SyngasCompression,1049457.5
HaberBoschUnit,12678458.44
CoolingSubsystem,385.55
ASU,296652.35
HydrogenProduction,2263.6
SyngasCompression,1049457.5
HaberBoschUnit,12678458.44
CoolingSubsystem,385.55
ASU,314931.35
HydrogenProduction,2756.7
SyngasCompression,823724.6
HaberBoschUnit,6167447.18
CoolingSubsystem,861.0
ASU,314931.35
HydrogenProduction,2756.7
SyngasCompression,823724.6
HaberBoschUnit,6167447.18
CoolingSubsystem,861.0
ASU,192929.45
HydrogenProduction,2588.55
SyngasCompression,975566.55
HaberBoschUnit,7296420.68
CoolingSubsystem,447.8
ASU,192929.45
HydrogenProduction,2588.55
SyngasCompression,975566.55
HaberBoschUnit,7296420.68
CoolingSubsystem,447.8
ASU,420779.7
HydrogenProduction,2768.15
SyngasCompression,1943457.25
HaberBoschUnit,9136229.37
CoolingSubsystem,923.25
ASU,420779.7
HydrogenProduction,2768.15
SyngasCompression,1943457.25
HaberBoschUnit,9136229.37
CoolingSubsystem,923.25
ASU,410896.3
HydrogenProduction,3396.4
SyngasCompression,1089650.95
HaberBoschUnit,12305867.33
CoolingSubsystem,573.3
ASU,410896.3
HydrogenProduction,3396.4
SyngasCompression,1089650.95
HaberBoschUnit,12305867.33
CoolingSubsystem,573.3
ASU,188147.15
HydrogenProduction,3060.0
SyngasCompression,2077029.4
HaberBoschUnit,11039505.49
CoolingSubsystem,656.55
ASU,188147.15
HydrogenProduction,3060.0
SyngasCompression,2077029.4
HaberBoschUnit,11039505.49
CoolingSubsystem,656.55
ASU,425136.9
HydrogenProduction,2442.8
SyngasCompression,1105078.75
HaberBoschUnit,5591760.28
CoolingSubsystem,826.45
ASU,425136.9
HydrogenProduction,2442.8
SyngasCompression,1105078.75
HaberBoschUnit,5591760.28
CoolingSubsystem,826.45
ASU,376251.15
HydrogenProduction,2106.45
SyngasCompression,996272.25
HaberBoschUnit,11959409.83
CoolingSubsystem,909.7
ASU,376251.15
HydrogenProduction,2106.45
SyngasCompression,996272.25
HaberBoschUnit,11959409.83
CoolingSubsystem,909.7
ASU,250423.4
HydrogenProduction,3842.15
SyngasCompression,798147.0
HaberBoschUnit,7315087.59
CoolingSubsystem,397.6
ASU,250423.4
HydrogenProduction,3842.15
SyngasCompression,798147.0
HaberBoschUnit,7315087.59
CoolingSubsystem,397.6
ASU,201537.6
HydrogenProduction,1935.0
SyngasCompression,1707574.5
HaberBoschUnit,6048725.75
CoolingSubsystem,862.75
ASU,201537.6
HydrogenProduction,1935.0
SyngasCompression,1707574.5
HaberBoschUnit,6048725.75
CoolingSubsystem,862.75
ASU,479336.4
HydrogenProduction,2810.2
SyngasCompression,1322691.75
HaberBoschUnit,6968630.09
CoolingSubsystem,439.2
ASU,479336.4
HydrogenProduction,2810.2
SyngasCompression,1322691.75
HaberBoschUnit,6968630.09
CoolingSubsystem,439.2
ASU,236182.75
HydrogenProduction,1216.55
SyngasCompression,1213885.25
HaberBoschUnit,13909726.54
CoolingSubsystem,904.35
ASU,236182.75
HydrogenProduction,1216.55
SyngasCompression,1213885.25
HaberBoschUnit,13909726.54
CoolingSubsystem,904.35
ASU,273537.85
HydrogenProduction,3343.7
SyngasCompression,1899609.85
HaberBoschUnit,12273013.6
CoolingSubsystem,712.75
ASU,273537.85
HydrogenProduction,3343.7
SyngasCompression,1899609.85
HaberBoschUnit,12273013.6
CoolingSubsystem,712.75
ASU,353030.4
HydrogenProduction,1593.35
SyngasCompression,951206.85
HaberBoschUnit,10719928.36
CoolingSubsystem,837.2
ASU,353030.4
HydrogenProduction,1593.35
SyngasCompression,951206.85
HaberBoschUnit,10719928.36
CoolingSubsystem,837.2
ASU,241655.85
HydrogenProduction,3136.35
SyngasCompression,818852.7
HaberBoschUnit,5415544.85
CoolingSubsystem,469.9
ASU,241655.85
HydrogenProduction,3136.35
SyngasCompression,818852.7
HaberBoschUnit,5415544.85
CoolingSubsystem,469.9
ASU,484809.45
HydrogenProduction,1386.0
SyngasCompression,1005610.15
HaberBoschUnit,11783194.4
CoolingSubsystem,594.3
ASU,484809.45
HydrogenProduction,1386.0
SyngasCompression,1005610.15
HaberBoschUnit,11783194.4
CoolingSubsystem,594.3
ASU,229434.4
HydrogenProduction,2897.95
SyngasCompression,1843176.6
HaberBoschUnit,7282233.86
CoolingSubsystem,488.35
ASU,229434.4
HydrogenProduction,2897.95
SyngasCompression,1843176.6
HaberBoschUnit,7282233.86
CoolingSubsystem,488.35
ASU,472588.0
HydrogenProduction,2640.0
SyngasCompression,894773.65
HaberBoschUnit,5729148.58
CoolingSubsystem,974.1
ASU,472588.0
HydrogenProduction,2640.0
SyngasCompression,894773.65
HaberBoschUnit,5729148.58
CoolingSubsystem,974.1
ASU,340808.95
HydrogenProduction,2847.35
SyngasCompression,1329999.65
HaberBoschUnit,6792414.66
CoolingSubsystem,446.7
ASU,340808.95
HydrogenProduction,2847.35
SyngasCompression,1329999.65
HaberBoschUnit,6792414.66
CoolingSubsystem,446.7
ASU,359088.0
HydrogenProduction,2275.85
SyngasCompression,1438806.2
HaberBoschUnit,13733511.11
CoolingSubsystem,932.45
ASU,359088.0
HydrogenProduction,2275.85
SyngasCompression,1438806.2
HaberBoschUnit,13733511.11
CoolingSubsystem,932.45
ASU,362289.45
HydrogenProduction,2281.45
SyngasCompression,1442561.6
