Subsystem,Emissions
SyngasCompression,49160.7
HaberBoschUnit,468025.68
CoolingSubsystem,28.15
ASU,22613.75
HydrogenProduction,112.4
SyngasCompression,53379.15
HaberBoschUnit,353761.45
CoolingSubsystem,32.8
ASU,22613.75
HydrogenProduction,112.4
SyngasCompression,53379.15
HaberBoschUnit,353761.45
CoolingSubsystem,32.8
ASU,13960.1
HydrogenProduction,117.25
SyngasCompression,65878.55
HaberBoschUnit,340343.0
CoolingSubsystem,22.55
ASU,13960.1
HydrogenProduction,117.25
SyngasCompression,65878.55
HaberBoschUnit,340343.0
CoolingSubsystem,22.55
ASU,12094.25
HydrogenProduction,75.95
SyngasCompression,41099.65
HaberBoschUnit,257984.58
CoolingSubsystem,32.5
ASU,12094.25
HydrogenProduction,75.95
SyngasCompression,41099.65
HaberBoschUnit,257984.58
CoolingSubsystem,32.5
ASU,7479.6
HydrogenProduction,150.5
SyngasCompression,62492.0
HaberBoschUnit,367027.48
CoolingSubsystem,24.55
ASU,7479.6
HydrogenProduction,150.5
SyngasCompression,62492.0
HaberBoschUnit,367027.48
CoolingSubsystem,24.55
ASU,26864.7
HydrogenProduction,173.5
SyngasCompression,55354.2
HaberBoschUnit,232787.73
CoolingSubsystem,18.9
ASU,26864.7
HydrogenProduction,173.5
SyngasCompression,55354.2
HaberBoschUnit,232787.73
CoolingSubsystem,18.9
ASU,18287.9
HydrogenProduction,84.85
SyngasCompression,29942.3
HaberBoschUnit,237380.92
CoolingSubsystem,17.5
ASU,18287.9
HydrogenProduction,84.85
SyngasCompression,29942.3
HaberBoschUnit,237380.92
CoolingSubsystem,17.5
ASU,27804.25
HydrogenProduction,106.2
SyngasCompression,46964.95
HaberBoschUnit,278357.57
CoolingSubsystem,23.15
ASU,27804.25
HydrogenProduction,106.2
SyngasCompression,46964.95
HaberBoschUnit,278357.57
CoolingSubsystem,23.15
ASU,9976.05
HydrogenProduction,137.3
SyngasCompression,57777.65
HaberBoschUnit,542937.23
CoolingSubsystem,31.4
ASU,9976.05
HydrogenProduction,137.3
SyngasCompression,57777.65
HaberBoschUnit,542937.23
CoolingSubsystem,31.4
ASU,16797.2
HydrogenProduction,114.15
SyngasCompression,32313.2
HaberBoschUnit,392696.47
CoolingSubsystem,35.35
ASU,16797.2
HydrogenProduction,114.15
SyngasCompression,32313.2
HaberBoschUnit,392696.47
CoolingSubsystem,35.35
ASU,19481.35
HydrogenProduction,104.05
SyngasCompression,61474.2
HaberBoschUnit,335940.98
CoolingSubsystem,40.95
ASU,19481.35
HydrogenProduction,104.05
SyngasCompression,61474.2
HaberBoschUnit,335940.98
CoolingSubsystem,40.95
ASU,12911.5
HydrogenProduction,97.55
SyngasCompression,37920.8
HaberBoschUnit,428043.34
CoolingSubsystem,26.05
ASU,12911.5
HydrogenProduction,97.55
SyngasCompression,37920.8
HaberBoschUnit,428043.34
CoolingSubsystem,26.05
ASU,10674.85
HydrogenProduction,70.85
SyngasCompression,74689.0
HaberBoschUnit,550288.16
CoolingSubsystem,23.5
ASU,10674.85
HydrogenProduction,70.85
SyngasCompression,74689.0
HaberBoschUnit,550288.16
CoolingSubsystem,23.5
ASU,17272.9
HydrogenProduction,85.95
SyngasCompression,89185.55
HaberBoschUnit,575133.75
CoolingSubsystem,18.1
ASU,17272.9
HydrogenProduction,85.95
SyngasCompression,89185.55
HaberBoschUnit,575133.75
CoolingSubsystem,18.1
ASU,12927.5
HydrogenProduction,190.3
SyngasCompression,62882.95
HaberBoschUnit,608998.47
CoolingSubsystem,48.55
ASU,12927.5
HydrogenProduction,190.3
SyngasCompression,62882.95
HaberBoschUnit,608998.47
CoolingSubsystem,48.55
ASU,13769.55
HydrogenProduction,118.15
SyngasCompression,54498.45
HaberBoschUnit,402301.66
CoolingSubsystem,23.25
ASU,13769.55
HydrogenProduction,118.15
SyngasCompression,54498.45
HaberBoschUnit,402301.66
CoolingSubsystem,23.25
ASU,12588.75
HydrogenProduction,82.25
SyngasCompression,37358.75
HaberBoschUnit,530076.47
CoolingSubsystem,27.2
ASU,12588.75
HydrogenProduction,82.25
SyngasCompression,37358.75
HaberBoschUnit,530076.47
CoolingSubsystem,27.2
ASU,21399.25
HydrogenProduction,98.25
SyngasCompression,54013.4
HaberBoschUnit,298935.83
CoolingSubsystem,14.9
ASU,21399.25
HydrogenProduction,98.25
SyngasCompression,54013.4
HaberBoschUnit,298935.83
CoolingSubsystem,14.9
ASU,17934.85
HydrogenProduction,66.4
SyngasCompression,48648.65
HaberBoschUnit,229508.08
CoolingSubsystem,25.9
ASU,17934.85
HydrogenProduction,66.4
SyngasCompression,48648.65
HaberBoschUnit,229508.08
CoolingSubsystem,25.9
ASU,13903.15
HydrogenProduction,182.0
SyngasCompression,59826.85
HaberBoschUnit,349857.56
CoolingSubsystem,42.9
ASU,13903.15
HydrogenProduction,182.0
SyngasCompression,59826.85
HaberBoschUnit,349857.56
CoolingSubsystem,42.9
ASU,17192.85
HydrogenProduction,183.75
SyngasCompression,75635.15
HaberBoschUnit,318903.64
CoolingSubsystem,48.85
ASU,17192.85
HydrogenProduction,183.75
SyngasCompression,75635.15
HaberBoschUnit,318903.64
CoolingSubsystem,48.85
ASU,15913.9
HydrogenProduction,204.4
SyngasCompression,69451.1
